"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_v8.nlogo"
"main-simulation-results-covary-social-costs-prev"
"01/27/2026 23:46:02:396 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","number-of-scouts","reorient-tick","cost-leaving","cost-of-infection","disease-prevalence","cost-perception-distance","cost-perception-angle","cost-walk-speed","cost-leading","cost-disappointment","[step]","nest-energy","ind-ant-times-visited","total-num-food-visits","total-num-food-visits-returned","total-num-food-visits-returned-ui","total-num-food-visits-returned-i","total-num-ants-visited","total-num-active-ants","total-foraging-distance","total-foraging-distance-ui","total-foraging-distance-i","forager-energy-ui","forager-energy-i","total-steps-taken","number-tr"
"70","25","5","0","0.3","0.1","0","0","1","1","0","5400","829.4533075156182","11.47","1147","1106","1023","83","100","100","160934.31999987003","146846.16000010652","14088.159999997233","805.3863724480723","65.56269100806111","208418","95"
"71","25","5","0","0.4","0.1","0","0","1","1","0","5400","755.2079252304469","10.37","1037","1007","969","38","97","100","155541.92000000615","140660.00000019747","14881.919999990685","762.8569929272329","29.648832928610055","206331","94"
"73","25","5","0","0.6","0.1","0","0","1","1","0","5400","812.9540340269486","11.22","1122","1084","1064","20","95","100","172386.87999993484","160803.51999990374","11583.359999994103","838.4758548975047","16.491548830638013","235655","98"
"72","25","5","0","0.5","0.1","0","0","1","1","0","5400","810.7020113450153","11.13","1113","1081","1054","27","100","100","161395.5999997941","147850.40000009243","13545.199999992441","826.473588352532","20.992053644674296","217311","106"
"74","25","5","0","0.7","0.1","0","0","1","1","0","5400","727.4567824861158","10.06","1006","970","949","21","98","100","148418.64000011722","139547.44000021325","8871.199999994573","751.6698619333278","17.24175706948659","208253","104"
"75","25","5","0","0.8","0.1","0","0","1","1","0","5400","836.9544842731083","11.52","1152","1116","1103","13","97","100","160636.00000002628","154228.7999999996","6407.199999996527","862.7841341863109","9.741064571316924","229319","92"
"76","25","5","0","0.9","0.1","0","0","1","1","0","5400","747.7077130764128","10.48","1048","997","990","7","95","100","143248.40000016894","139571.2000002129","3677.199999997857","786.6948653591106","5.239928678558751","215632","91"
"78","25","5","0","0","0.5","0","0","1","1","0","5400","929.9524403023626","12.77","1277","1240","631","609","99","100","166235.1999998249","83500.80000016352","82734.40000016073","495.17449233152007","478.8684723485819","207794","88"
"77","25","5","0","0.995","0.1","0","0","1","1","0","5400","742.4601473420656","10.34","1034","990","990","0","94","100","145453.06000010367","145094.40000013253","358.6600000003622","787.2681732655236","4.494957977105971","201980","82"
"79","25","5","0","0.1","0.5","0","0","1","1","0","5400","875.201507020377","12.05","1205","1167","629","538","98","100","166824.3200000245","80876.08000015414","85948.24000010506","486.7127609310798","426.50835708318505","220452","88"
"80","25","5","0","0.2","0.5","0","0","1","1","0","5400","659.2084760478941","9.22","922","879","450","429","98","100","135642.080000135","66883.68000010288","68758.39999994756","362.8920103739279","338.81134461328213","190930","93"
"82","25","5","0","0.4","0.5","0","0","1","1","0","5400","418.46525812537834","5.86","586","558","379","179","96","100","118739.84000003723","58641.120000073264","60098.72000015158","307.588266336386","139.78881107734986","196226","120"
"81","25","5","0","0.3","0.5","0","0","1","1","0","5400","656.2049651066427","9.01","901","875","544","331","100","100","138719.91999993412","74635.12000013214","64084.7999999034","425.11467912654825","261.92245203127857","206186","117"
"83","25","5","0","0.5","0.5","0","0","1","1","0","5400","377.96368568960446","5.32","532","504","395","109","97","100","111405.59999992946","58438.00000007255","52967.60000011383","324.20092367784343","86.39375438469152","200971","133"
"84","25","5","0","0.6","0.5","0","0","1","1","0","5400","422.9674755877161","6.06","606","564","483","81","93","100","116297.44000061805","69828.32000011374","46469.119999964845","391.0411859829913","67.15386000497804","224996","138"
"85","25","5","0","0.7","0.5","0","0","1","1","0","5400","419.9683569935145","5.79","579","560","489","71","86","100","106810.32000043454","68350.0800001083","38460.24000004316","388.54160931226215","56.094682915539074","235190","125"
"86","25","5","0","0.8","0.5","0","0","1","1","0","5400","379.47098971005556","5.32","532","506","448","58","88","100","95710.56000050699","69169.60000011139","26540.9599999791","357.51014446654165","45.71281113538161","238523","108"
"87","25","5","0","0.9","0.5","0","0","1","1","0","5400","389.9654318616691","5.43","543","520","465","55","86","100","88789.440000387","72746.4000001244","16043.03999998892","368.87779992791366","43.616917327442536","251772","110"
"88","25","5","0","0.995","0.5","0","0","1","1","0","5400","388.48099129228217","5.74","574","518","518","0","82","100","69941.40400020193","67717.6000001061","2223.803999990432","415.22308223304833","23.972221280126877","198221","82"
"90","25","5","0","0.1","0.9","0","0","1","1","0","5400","761.9563608697389","10.53","1053","1016","109","907","99","100","144714.88000019148","15080.879999995079","129634.000000176","87.15788546625552","717.0810138865387","198891","92"
"89","25","5","0","0","0.9","0","0","1","1","0","5400","904.451423088621","12.5","1250","1206","128","1078","98","100","172270.39999973707","17422.39999999292","154847.9999999906","99.0134297543368","845.6964398953078","215338","99"
"91","25","5","0","0.2","0.9","0","0","1","1","0","5400","695.9525646094536","9.64","964","928","106","822","100","100","134975.3600000072","13790.399999996192","121184.95999990049","83.76451205801678","651.2537863915462","206560","107"
"93","25","5","0","0.4","0.9","0","0","1","1","0","5400","93.7335975813314","1.33","133","125","25","100","42","47","50303.68000008558","3915.2000000003463","46388.48000006413","20.99879950670554","79.82023246850811","101140","29"
"94","25","5","0","0.5","0.9","0","0","1","1","0","5400","116.98052709827945","1.62","162","156","89","67","55","59","54622.0000001122","10902.79999999885","43719.20000008626","68.9341649973258","53.492524384677004","120962","43"
"92","25","5","0","0.3","0.9","0","0","1","1","0","5400","531.7053441453933","7.46","746","709","115","594","97","100","128130.63999971848","15341.999999994896","112788.63999971052","92.52654492762453","478.3572996779344","219698","111"
"95","25","5","0","0.6","0.9","0","0","1","1","0","5400","68.23294374560332","0.95","95","91","48","43","39","45","45355.83999997446","7844.800000001235","37511.0399999712","38.06635831197236","34.303016384683396","125234","23"
"96","25","5","0","0.7","0.9","0","0","1","1","0","5400","63.739172069250344","0.85","85","85","53","32","33","50","41649.6800000167","8311.200000001205","33338.48000008655","41.35996736534811","24.641931377141525","145566","27"
"98","25","5","0","0.9","0.9","0","0","1","1","0","5400","17.997076336348233","0.25","25","24","17","7","10","34","13336.319999990328","1917.5999999999253","11418.719999991028","12.749417126981113","6.366236921378664","140388","9"
"97","25","5","0","0.8","0.9","0","0","1","1","0","5400","20.99500373581819","0.3","30","28","16","12","15","34","21989.759999983115","2379.999999999993","19609.759999984748","12.7492744674644","9.720502024948798","123552","9"
"99","25","5","0","0.995","0.9","0","0","1","1","0","5400","44.9975260931101","0.76","76","60","60","0","19","41","9322.052000004398","8519.200000001016","802.8520000005614","46.74740056252069","10.491015142119672","47386","16"
"100","25","5","0","0","0.1","0","0","0","1","1","5400","866.9538791324818","11.94","1194","1156","1045","111","100","100","157417.5999999532","142091.20000017624","15326.399999994825","820.175339907976","86.5828176846327","196772","86"
"101","25","5","0","0.1","0.1","0","0","0","1","1","5400","845.2037810081836","11.6","1160","1127","1010","117","98","100","163786.39999986053","148530.40000008253","15255.999999994889","793.3171230174155","93.00783872874612","204733","88"
"102","25","5","0","0.2","0.1","0","0","0","1","1","5400","901.4526923423341","12.61","1261","1202","1091","111","100","100","162647.1999998771","144088.80000014717","18558.399999991885","867.7934820756534","87.77557763247773","203309","93"
"103","25","5","0","0.3","0.1","0","0","0","1","1","5400","857.9538673869306","11.78","1178","1144","1033","111","99","100","161401.59999989523","146892.80000010636","14508.799999995568","811.6676229374707","87.57681605411769","201752","85"
"104","25","5","0","0.4","0.1","0","0","0","1","1","5400","887.2040266859791","12.2","1220","1183","1054","129","99","100","163547.199999864","148349.60000008516","15197.599999994942","825.6984256276951","100.02660683647076","204434","80"
"106","25","5","0","0.6","0.1","0","0","0","1","1","5400","914.2030774985592","12.62","1262","1219","1099","120","100","100","161223.99999989782","146112.00000011772","15111.99999999502","866.4928627424849","94.17038081697396","201530","82"
"107","25","5","0","0.7","0.1","0","0","0","1","1","5400","932.2007154191114","12.88","1288","1243","1131","112","100","100","168186.3999997965","152854.4000000196","15331.99999999482","889.622049440511","88.83281352474906","210233","83"
"108","25","5","0","0.8","0.1","0","0","0","1","1","5400","823.4556916179757","11.43","1143","1098","1005","93","99","100","163923.99999985853","145262.4000001301","18661.59999999179","793.2181262833155","74.41929459811422","204905","89"
"105","25","5","0","0.5","0.1","0","0","0","1","1","5400","893.2041676326023","12.34","1234","1191","1072","119","99","100","164997.5999998429","150052.0000000604","14945.599999995171","843.5104075999106","94.28918220376357","206247","84"
"109","25","5","0","0.9","0.1","0","0","0","1","1","5400","902.9540756257802","12.55","1255","1204","1111","93","98","100","163855.19999985953","146220.80000011614","17634.399999992725","877.2553326445052","73.38211074922181","204819","90"
"110","25","5","0","0.995","0.1","0","0","0","1","1","5400","890.2048415336493","12.28","1228","1187","1099","88","97","100","165401.59999983702","144042.40000014784","21359.199999989338","861.1434962681953","68.84971947308519","206752","86"
"111","25","5","0","0","0.5","0","0","0","1","1","5400","791.2057589101997","10.99","1099","1055","529","526","100","100","152730.40000002141","78092.80000014385","74637.60000013128","422.7886420921894","414.4709511494609","190913","90"
"112","25","5","0","0.1","0.5","0","0","0","1","1","5400","781.4581833878916","10.85","1085","1042","504","538","99","100","147896.00000009176","77188.00000014056","70708.00000011698","403.7014159103701","427.059652866248","184870","85"
"113","25","5","0","0.2","0.5","0","0","0","1","1","5400","827.2053639660131","11.39","1139","1103","522","581","99","100","156731.1999999632","81069.60000015468","75661.600000135","415.4627310778116","455.63314087112417","195914","90"
"114","25","5","0","0.3","0.5","0","0","0","1","1","5400","795.7064345241386","10.97","1097","1061","532","529","99","100","151365.60000004128","71799.20000012095","79566.40000014921","416.296823501396","420.53818719674524","189207","83"
"116","25","5","0","0.5","0.5","0","0","0","1","1","5400","765.7091421185742","10.59","1059","1021","510","511","98","100","146492.80000011218","75286.40000013364","71206.4000001188","402.77076052893966","404.72824307780115","183116","92"
"115","25","5","0","0.4","0.5","0","0","0","1","1","5400","709.4589532109446","9.71","971","946","460","486","98","100","147758.40000009377","75816.80000013557","71941.60000012147","365.5268480488047","381.41551746532457","184698","87"
"117","25","5","0","0.6","0.5","0","0","0","1","1","5400","891.7047275039145","12.21","1221","1189","593","596","100","100","154782.39999999155","78017.60000014358","76764.80000013902","465.9136736583537","466.95153703636794","193478","82"
"118","25","5","0","0.7","0.5","0","0","0","1","1","5400","761.9577470895747","10.61","1061","1016","551","465","98","100","152565.6000000238","72643.20000012402","79922.4000001505","433.3278219508182","369.8693209647256","190707","82"
"119","25","5","0","0.8","0.5","0","0","0","1","1","5400","591.7173982628327","8.2","820","789","388","401","95","100","129027.20000032915","59129.60000007486","69897.60000011403","309.6382061404337","319.47238435150507","161284","84"
