[run number],number-of-scouts,reorient-tick,cost-leaving,cost-of-infection,disease-prevalence,cost-perception-distance,cost-perception-angle,cost-walk-speed,cost-leading,cost-disappointment,[step],nest-energy,ind-ant-times-visited,total-num-food-visits,total-num-food-visits-returned,total-num-food-visits-returned-ui,total-num-food-visits-returned-i,total-num-ants-visited,total-num-active-ants,total-foraging-distance,total-foraging-distance-ui,total-foraging-distance-i,forager-energy-ui,forager-energy-i,total-steps-taken,number-tr
317,25,5,0,0.8,0.5,0,0,0,0,1,5400,741.7069063,10.19,1019,989,524,465,97,100,154505.6,72232.8,82272.8,411.7279352,368.0373628,193132,83
319,25,5,0,0.995,0.5,0,0,0,0,1,5400,716.214606,9.92,992,955,539,416,86,100,173180.8,79296.8,93884,423.8570265,329.1838093,216476,81
321,25,5,0,0.1,0.9,0,0,0,0,1,5400,797.9551672,11.04,1104,1064,97,967,100,100,153764,12896,140868,75.5398101,766.3632109,192205,78
320,25,5,0,0,0.9,0,0,0,0,1,5400,865.4542183,11.91,1191,1154,118,1036,100,100,156376.8,13511.2,142865.6,92.95837462,810.1313548,195471,91
322,25,5,0,0.2,0.9,0,0,0,0,1,5400,884.2028061,12.15,1215,1179,109,1070,98,100,168860.8,19060,149800.8,85.76292396,835.866733,211076,86
324,25,5,0,0.4,0.9,0,0,0,0,1,5400,854.9536401,11.8,1180,1140,112,1028,99,100,160565.6,15800.8,144764.8,88.50142233,808.1245192,200707,84
323,25,5,0,0.3,0.9,0,0,0,0,1,5400,737.2078308,10.2,1020,983,101,882,98,100,150314.4,14376,135938.4,80.95810912,696.9334721,187893,87
318,25,5,0,0.9,0.5,0,0,0,0,1,5400,590.9697491,8.25,825,788,485,303,83,100,159899.2,68972,90927.2,386.0976878,241.6409615,199874,88
325,25,5,0,0.5,0.9,0,0,0,0,1,5400,797.9547422,11.05,1105,1064,112,952,100,100,158378.4,22320.8,136057.6,87.36192706,754.5896859,197973,85
326,25,5,0,0.6,0.9,0,0,0,0,1,5400,824.9544972,11.53,1153,1100,119,981,99,100,161050.4,16903.2,144147.2,94.55733734,775.9559591,201313,88
327,25,5,0,0.7,0.9,0,0,0,0,1,5400,740.2062375,10.38,1038,987,95,892,99,100,156048,17217.6,138830.4,74.38849117,714.0575873,195060,91
328,25,5,0,0.8,0.9,0,0,0,0,1,5400,673.4639507,9.34,934,898,101,797,88,100,164635.2,13027.2,151608,79.58977144,630.1036853,205794,90
329,25,5,0,0.9,0.9,0,0,0,0,1,5400,437.2287393,6.31,631,583,84,499,75,100,155996.8,12574.4,143422.4,69.47116141,413.7436783,194996,83
330,25,5,0,0.995,0.9,0,0,0,0,1,5400,581.9733731,8.13,813,776,124,652,75,100,177098.4,15614.4,161484,97.30773522,521.2069035,221373,87
